Byte_Position,Bit_1_Count,Bit_0_Count
949248,4109,4083
950272,4134,4058
951296,4151,4041
952320,4185,4007
953344,4066,4126
954368,4137,4055
955392,4108,4084
956416,4173,4019
957440,3995,4197
958464,3997,4195
959488,4087,4105
960512,4142,4050
961536,4156,4036
962560,3917,4275
963584,5365,2827
964608,8192,0
965632,8192,0
966656,4866,3326
967680,5913,2279
968704,8192,0
969728,8192,0
970752,8192,0
971776,8192,0
972800,8192,0
973824,8192,0
974848,8192,0
975872,8192,0
976896,8192,0
977920,5097,3095
978944,7513,679
979968,8192,0
980992,8192,0
982016,8192,0
983040,8192,0
984064,8192,0
985088,8192,0
986112,8192,0
987136,8192,0
988160,8192,0
989184,5036,3156
990208,4068,4124
991232,4076,4116
992256,4124,4068
993280,4095,4097
994304,4084,4108
995328,4027,4165
996352,3986,4206
997376,4066,4126
998400,3956,4236
999424,4058,4134
1000448,4008,4184
1001472,4095,4097
1002496,4110,4082
1003520,4056,4136
1004544,4050,4142
1005568,4126,4066
1006592,4177,4015
1007616,4137,4055
1008640,4181,4011
1009664,3990,4202
1010688,4144,4048
1011712,4048,4144
1012736,4064,4128
1013760,4059,4133
1014784,4098,4094
1015808,4066,4126
1016832,4153,4039
1017856,3998,4194
1018880,3910,4282
1019904,8192,0
1020928,8192,0
1021952,6140,2052
1022976,4113,4079
1024000,4068,4124
1025024,4081,4111
1026048,4196,3996
1027072,3960,4232
1028096,4038,4154
1029120,4119,4073
1030144,4134,4058
1031168,4163,4029
1032192,4061,4131
1033216,4093,4099
1034240,4157,4035
1035264,4101,4091
1036288,4103,4089
1037312,4130,4062
1038336,3953,4239
1039360,5520,2672
1040384,8192,0
1041408,8192,0
1042432,8192,0
1043456,8192,0
1044480,4507,3685
1045504,4042,4150
1046528,4109,4083
1047552,4119,4073
1048576,4148,4044
1049600,4165,4027
1050624,4105,4087
1051648,4092,4100
1052672,4140,4052
1053696,4086,4106
1054720,4106,4086
1055744,4062,4130
1056768,4145,4047
1057792,4053,4139
1058816,4040,4152
1059840,4129,4063
1060864,3972,4220
1061888,4145,4047
1062912,4091,4101
1063936,4113,4079
1064960,4050,4142
1065984,4024,4168
1067008,4210,3982
1068032,4136,4056
1069056,4144,4048
1070080,4079,4113
1071104,4028,4164
1072128,4040,4152
1073152,3990,4202
1074176,5386,2806
1075200,8192,0
1076224,8192,0
1077248,7388,804
1078272,3990,4202
1079296,4126,4066
1080320,4124,4068
1081344,4102,4090
1082368,4098,4094
1083392,4026,4166
1084416,4050,4142
1085440,4118,4074
1086464,4198,3994
1087488,3976,4216
1088512,4041,4151
1089536,4086,4106
1090560,4137,4055
1091584,4045,4147
1092608,3876,4316
1093632,6176,2016
1094656,8192,0
1095680,8192,0
1096704,8192,0
1097728,8192,0
1098752,8192,0
1099776,5803,2389
1100800,4067,4125
1101824,4140,4052
1102848,4051,4141
1103872,4158,4034
1104896,4159,4033
1105920,4003,4189
1106944,4157,4035
1107968,4066,4126
1108992,4110,4082
1110016,4186,4006
1111040,4060,4132
1112064,4022,4170
1113088,4031,4161
1114112,4036,4156
1115136,4165,4027
1116160,4191,4001
1117184,4186,4006
1118208,4117,4075
1119232,3922,4270
1120256,4117,4075
1121280,8192,0
1122304,4160,4032
1123328,4138,4054
1124352,4029,4163
1125376,4111,4081
1126400,4070,4122
1127424,4074,4118
1128448,4128,4064
1129472,4028,4164
1130496,4149,4043
1131520,4050,4142
1132544,4062,4130
1133568,4140,4052
1134592,4066,4126
1135616,4093,4099
1136640,4079,4113
1137664,4132,4060
1138688,4123,4069
1139712,4210,3982
1140736,4095,4097
1141760,3986,4206
1142784,4116,4076
1143808,4063,4129
1144832,4100,4092
1145856,4146,4046
1146880,4028,4164
1147904,4121,4071
1148928,4055,4137
1149952,4121,4071
1150976,4097,4095
1152000,4031,4161
1153024,4102,4090
1154048,4111,4081
1155072,4147,4045
1156096,4042,4150
1157120,4094,4098
1158144,3915,4277
1159168,3880,4312
1160192,4054,4138
1161216,4056,4136
1162240,4209,3983
1163264,4140,4052
1164288,4148,4044
1165312,4072,4120
1166336,4105,4087
1167360,4067,4125
1168384,3944,4248
1169408,4124,4068
1170432,4036,4156
1171456,4155,4037
1172480,4122,4070
1173504,4070,4122
1174528,4181,4011
1175552,4090,4102
1176576,4052,4140
1177600,3845,4347
1178624,3846,4346
1179648,4059,4133
1180672,4094,4098
1181696,4071,4121
1182720,4131,4061
1183744,4138,4054
1184768,4172,4020
1185792,4062,4130
1186816,4058,4134
1187840,4171,4021
1188864,4085,4107
1189888,4079,4113
1190912,4085,4107
1191936,4087,4105
1192960,4113,4079
1193984,4130,4062
1195008,3978,4214
1196032,4037,4155
1197056,4073,4119
1198080,4084,4108
1199104,4021,4171
1200128,4085,4107
1201152,4037,4155
1202176,4073,4119
1203200,4074,4118
1204224,4058,4134
1205248,4114,4078
1206272,4091,4101
1207296,4130,4062
1208320,4026,4166
1209344,4086,4106
1210368,4137,4055
1211392,4039,4153
1212416,3872,4320
1213440,3841,4351
1214464,4161,4031
1215488,4047,4145
1216512,4047,4145
1217536,4085,4107
1218560,4096,4096
1219584,4059,4133
1220608,4108,4084
1221632,4079,4113
1222656,4038,4154
1223680,4065,4127
1224704,4166,4026
1225728,4003,4189
1226752,4128,4064
1227776,4117,4075
1228800,4115,4077
1229824,4046,4146
1230848,3801,4391
1231872,7933,259
1232896,6636,1556
1233920,6152,2040
1234944,8192,0
1235968,8192,0
1236992,8192,0
1238016,8192,0
1239040,8192,0
1240064,8192,0
1241088,8192,0
1242112,8192,0
1243136,8192,0
1244160,4819,3373
1245184,7435,757
1246208,8192,0
1247232,8192,0
1248256,8192,0
1249280,8192,0
1250304,8192,0
1251328,8192,0
1252352,8192,0
1253376,8192,0
1254400,8192,0
1255424,5108,3084
1256448,4156,4036
1257472,4118,4074
1258496,4158,4034
1259520,4139,4053
1260544,4155,4037
1261568,4132,4060
1262592,4019,4173
1263616,4077,4115
1264640,4051,4141
1265664,3988,4204
1266688,4026,4166
1267712,4070,4122
1268736,4114,4078
1269760,4020,4172
1270784,4089,4103
1271808,4078,4114
1272832,4104,4088
1273856,4081,4111
1274880,4179,4013
1275904,4115,4077
1276928,4101,4091
1277952,4101,4091
1278976,4100,4092
1280000,4006,4186
1281024,3891,4301
1282048,4309,3883
1283072,8192,0
1284096,8192,0
1285120,8192,0
1286144,8192,0
1287168,8192,0
1288192,7839,353
1289216,3930,4262
1290240,4051,4141
1291264,4138,4054
1292288,4006,4186
1293312,4027,4165
1294336,4133,4059
1295360,4110,4082
1296384,4134,4058
1297408,4056,4136
1298432,4060,4132
1299456,4074,4118
1300480,4126,4066
1301504,4102,4090
1302528,3939,4253
1303552,3822,4370
1304576,7554,638
1305600,8192,0
1306624,8192,0
1307648,8192,0
1308672,8192,0
1309696,8192,0
1310720,6225,1967
1311744,4079,4113
1312768,4039,4153
1313792,4120,4072
1314816,4152,4040
1315840,4048,4144
1316864,4100,4092
1317888,4127,4065
1318912,4105,4087
1319936,4162,4030
1320960,4117,4075
1321984,4013,4179
1323008,4135,4057
1324032,4117,4075
1325056,4082,4110
1326080,4081,4111
1327104,4061,4131
1328128,4007,4185
1329152,4030,4162
1330176,4042,4150
1331200,4051,4141
1332224,4127,4065
1333248,4069,4123
1334272,4119,4073
1335296,4122,4070
1336320,4149,4043
1337344,4109,4083
1338368,4130,4062
1339392,4090,4102
1340416,4105,4087
1341440,4123,4069
1342464,4095,4097
1343488,3915,4277
1344512,3887,4305
1345536,3965,4227
1346560,4060,4132
1347584,4113,4079
1348608,4085,4107
1349632,4074,4118
1350656,4054,4138
1351680,4180,4012
1352704,4072,4120
1353728,4112,4080
1354752,4184,4008
1355776,4118,4074
1356800,4179,4013
1357824,4133,4059
1358848,4063,4129
1359872,4011,4181
1360896,4000,4192
1361920,3929,4263
1362944,5038,3154
1363968,8192,0
1364992,8192,0
1366016,7532,660
1367040,5308,2884
1368064,8192,0
1369088,8192,0
1370112,8192,0
1371136,8192,0
1372160,8192,0
1373184,8192,0
1374208,8192,0
1375232,8192,0
1376256,8192,0
1377280,5733,2459
1378304,6529,1663
1379328,8192,0
1380352,8192,0
1381376,8192,0
1382400,8192,0
1383424,8192,0
1384448,8192,0
1385472,8192,0
1386496,8192,0
1387520,8192,0
1388544,6146,2046
1389568,3985,4207
1390592,4004,4188
1391616,4153,4039
1392640,4044,4148
1393664,4042,4150
1394688,4064,4128
1395712,4019,4173
1396736,4158,4034
1397760,4159,4033
1398784,4025,4167
1399808,4093,4099
1400832,4009,4183
1401856,4078,4114
1402880,4044,4148
1403904,4112,4080
1404928,4023,4169
1405952,4111,4081
1406976,4112,4080
1408000,4093,4099
1409024,4084,4108
1410048,4076,4116
1411072,4108,4084
1412096,4084,4108
1413120,4056,4136
1414144,4085,4107
1415168,4101,4091
1416192,4050,4142
1417216,4062,4130
1418240,4130,4062
1419264,3884,4308
1420288,6760,1432
1421312,7057,1135
1422336,4015,4177
1423360,4112,4080
1424384,4056,4136
1425408,4087,4105
1426432,4002,4190
1427456,4051,4141
1428480,4148,4044
1429504,4120,4072
1430528,4041,4151
1431552,4080,4112
1432576,4059,4133
1433600,4142,4050
1434624,4130,4062
1435648,4028,4164
1436672,3935,4257
1437696,5115,3077
1438720,8192,0
1439744,8192,0
1440768,8192,0
1441792,8192,0
1442816,8192,0
1443840,7198,994
1444864,4169,4023
1445888,4132,4060
1446912,4045,4147
1447936,4108,4084
1448960,4127,4065
1449984,4124,4068
1451008,4080,4112
1452032,3991,4201
1453056,4006,4186
1454080,3993,4199
1455104,4108,4084
1456128,4121,4071
1457152,4085,4107
1458176,4103,4089
1459200,4096,4096
1460224,3948,4244
1461248,4145,4047
1462272,4129,4063
1463296,4057,4135
1464320,4067,4125
1465344,4121,4071
1466368,4055,4137
1467392,4125,4067
1468416,4132,4060
1469440,4150,4042
1470464,4127,4065
1471488,4154,4038
1472512,4128,4064
1473536,4058,4134
1474560,4130,4062
1475584,4153,4039
1476608,4107,4085
1477632,3817,4375
1478656,3944,4248
1479680,4069,4123
1480704,4158,4034
1481728,4218,3974
1482752,4123,4069
1483776,4093,4099
1484800,4085,4107
1485824,4096,4096
1486848,4100,4092
1487872,4111,4081
1488896,4079,4113
1489920,4084,4108
1490944,4033,4159
1491968,3882,4310
1492992,5496,2696
1494016,8192,0
1495040,8192,0
1496064,8192,0
1497088,8192,0
1498112,8192,0
1499136,6813,1379
1500160,4395,3797
1501184,8192,0
1502208,8192,0
1503232,8192,0
1504256,8192,0
1505280,8192,0
1506304,8192,0
1507328,8192,0
1508352,8192,0
1509376,8192,0
1510400,6642,1550
1511424,5724,2468
1512448,8192,0
1513472,8192,0
1514496,8192,0
1515520,8192,0
1516544,8192,0
1517568,8192,0
1518592,8192,0
1519616,8192,0
1520640,8192,0
1521664,6903,1289
1522688,4040,4152
1523712,4076,4116
1524736,4028,4164
1525760,4026,4166
1526784,4108,4084
1527808,4078,4114
1528832,4040,4152
1529856,4029,4163
1530880,4067,4125
1531904,4060,4132
1532928,4011,4181
1533952,4093,4099
1534976,4095,4097
1536000,4162,4030
1537024,4141,4051
1538048,4169,4023
1539072,4030,4162
1540096,4093,4099
1541120,4064,4128
1542144,4086,4106
1543168,4146,4046
1544192,4099,4093
1545216,4144,4048
1546240,4046,4146
1547264,4147,4045
1548288,4024,4168
1549312,4113,4079
1550336,4018,4174
1551360,4016,4176
1552384,4090,4102
1553408,4055,4137
1554432,4121,4071
1555456,3884,4308
1556480,3794,4398
1557504,3948,4244
1558528,4066,4126
1559552,4066,4126
1560576,3986,4206
1561600,4072,4120
1562624,4035,4157
1563648,4152,4040
1564672,4101,4091
1565696,4169,4023
1566720,4085,4107
1567744,4128,4064
1568768,4151,4041
1569792,4035,4157
1570816,3937,4255
1571840,4505,3687
1572864,8192,0
1573888,8192,0
1574912,8192,0
1575936,8192,0
1576960,6218,1974
1577984,4000,4192
1579008,4115,4077
1580032,4026,4166
1581056,4049,4143
1582080,4214,3978
1583104,4127,4065
1584128,4101,4091
1585152,4025,4167
1586176,4184,4008
1587200,4098,4094
1588224,4123,4069
1589248,4148,4044
1590272,4075,4117
1591296,4054,4138
1592320,4062,4130
1593344,4036,4156
1594368,4156,4036
1595392,4069,4123
1596416,4167,4025
1597440,4205,3987
1598464,4062,4130
1599488,4103,4089
1600512,4073,4119
1601536,4114,4078
1602560,4113,4079
1603584,4062,4130
1604608,3980,4212
1605632,4765,3427
1606656,8192,0
1607680,8192,0
1608704,8192,0
1609728,8192,0
1610752,4849,3343
1611776,6103,2089
1612800,8192,0
1613824,8192,0
1614848,8192,0
1615872,8192,0
1616896,8192,0
1617920,8192,0
1618944,8192,0
1619968,8192,0
1620992,8192,0
1622016,5030,3162
1623040,4110,4082
1624064,4083,4109
1625088,4067,4125
1626112,4086,4106
1627136,4104,4088
1628160,4114,4078
1629184,4071,4121
1630208,4109,4083
1631232,4098,4094
1632256,3990,4202
1633280,4040,4152
1634304,4025,4167
1635328,4087,4105
1636352,4128,4064
1637376,4104,4088
1638400,4084,4108
1639424,4103,4089
1640448,4041,4151
1641472,6561,1631
1642496,8192,0
1643520,7778,414
1644544,6701,1491
1645568,8192,0
1646592,8192,0
1647616,8192,0
1648640,8192,0
1649664,8192,0
1650688,8192,0
1651712,8192,0
1652736,8192,0
1653760,8192,0
1654784,5996,2196
1655808,4111,4081
1656832,3987,4205
1657856,4151,4041
1658880,4076,4116
1659904,4080,4112
1660928,4005,4187
1661952,4065,4127
1662976,4077,4115
1664000,4023,4169
1665024,4074,4118
1666048,4102,4090
1667072,4064,4128
1668096,4065,4127
1669120,4041,4151
1670144,4162,4030
1671168,4103,4089
1672192,3998,4194
1673216,4174,4018
1674240,4092,4100
1675264,4037,4155
1676288,4038,4154
1677312,4110,4082
1678336,4028,4164
1679360,4119,4073
1680384,4064,4128
1681408,4179,4013
1682432,4130,4062
1683456,4207,3985
1684480,4083,4109
1685504,4127,4065
1686528,4114,4078
1687552,3934,4258
1688576,3829,4363
1689600,4088,4104
1690624,4129,4063
1691648,4116,4076
1692672,4065,4127
1693696,4121,4071
1694720,4018,4174
1695744,3987,4205
1696768,5572,2620
1697792,8192,0
1698816,8192,0
1699840,4664,3528
1700864,4403,3789
1701888,8192,0
1702912,8192,0
1703936,8192,0
1704960,8192,0
1705984,8192,0
1707008,8192,0
1708032,8192,0
1709056,8192,0
1710080,7281,911
1711104,3818,4374
1712128,4091,4101
1713152,4090,4102
1714176,4055,4137
1715200,4056,4136
1716224,4087,4105
1717248,4108,4084
1718272,6805,1387
1719296,8192,0
1720320,8192,0
1721344,7263,929
1722368,4107,4085
1723392,4035,4157
1724416,4083,4109
1725440,4086,4106
1726464,4129,4063
1727488,4077,4115
1728512,4056,4136
1729536,4141,4051
1730560,4133,4059
1731584,4083,4109
1732608,4183,4009
1733632,4066,4126
1734656,3830,4362
1735680,6301,1891
1736704,8192,0
1737728,8192,0
1738752,8192,0
1739776,8192,0
1740800,8192,0
1741824,8192,0
1742848,8192,0
1743872,5808,2384
1744896,4161,4031
1745920,4134,4058
1746944,4091,4101
1747968,4061,4131
1748992,4081,4111
1750016,4054,4138
1751040,4178,4014
1752064,4072,4120
1753088,4057,4135
1754112,4086,4106
1755136,4059,4133
1756160,4147,4045
1757184,4177,4015
1758208,4036,4156
1759232,3808,4384
1760256,7643,549
1761280,8192,0
1762304,8192,0
1763328,8192,0
1764352,8192,0
1765376,8192,0
1766400,4475,3717
1767424,8192,0
1768448,8192,0
1769472,8192,0
1770496,8192,0
1771520,8192,0
1772544,8192,0
1773568,8192,0
1774592,8192,0
1775616,8192,0
1776640,6853,1339
1777664,5623,2569
1778688,8192,0
1779712,8192,0
1780736,8192,0
1781760,8192,0
1782784,8192,0
1783808,8192,0
1784832,8192,0
1785856,8192,0
1786880,8192,0
1787904,6926,1266
1788928,4107,4085
1789952,4108,4084
1790976,4025,4167
1792000,3964,4228
1793024,3950,4242
1794048,4019,4173
1795072,3996,4196
1796096,4067,4125
1797120,5175,3017
1798144,8192,0
1799168,7006,1186
1800192,3962,4230
1801216,4052,4140
1802240,4094,4098
1803264,4107,4085
1804288,4118,4074
1805312,4151,4041
1806336,4093,4099
1807360,4101,4091
1808384,4042,4150
1809408,4086,4106
1810432,4041,4151
1811456,3919,4273
1812480,5011,3181
1813504,8192,0
1814528,8192,0
1815552,8192,0
1816576,8192,0
1817600,8192,0
1818624,8192,0
1819648,8192,0
1820672,8192,0
1821696,4783,1817
