Timestamp,Power(W),DIP_Config
0.0,0.06912,ALL_OFF
0.3333333333333333,0.06912,ALL_OFF
0.6666666666666666,0.06912,ALL_OFF
1.0,0.0115212,ALL_OFF
1.3333333333333333,0.0115212,ALL_OFF
1.6666666666666667,0.06912,ALL_OFF
2.0,0.06912,ALL_OFF
2.3333333333333335,0.06912,ALL_OFF
2.6666666666666665,0.06912,ALL_OFF
3.0,0.0115212,ALL_OFF
3.3333333333333335,0.0115212,ALL_OFF
3.6666666666666665,0.0115212,ALL_OFF
4.0,0.0115212,ALL_OFF
4.333333333333333,0.06912,ALL_OFF
4.666666666666667,0.06912,ALL_OFF
5.0,0.06912,SW0_ON
5.333333333333333,0.011519999999999999,SW0_ON
5.666666666666667,0.0115212,SW0_ON
6.0,0.011522399999999999,SW0_ON
6.333333333333333,0.06912,SW0_ON
6.666666666666667,0.06912,SW0_ON
7.0,0.06912,SW0_ON
7.333333333333333,0.0116628,SW0_ON
7.666666666666667,0.0116628,SW0_ON
8.0,0.0116628,SW0_ON
8.333333333333334,0.0116628,SW0_ON
8.666666666666666,0.06912,SW0_ON
9.0,0.06912,SW0_ON
9.333333333333334,0.06912,SW0_ON
9.666666666666666,0.0116628,SW0_ON
10.0,0.0116628,SW1_ON
10.333333333333334,0.0116628,SW1_ON
10.666666666666666,0.06912,SW1_ON
11.0,0.06912,SW1_ON
11.333333333333334,0.06912,SW1_ON
11.666666666666666,0.0117912,SW1_ON
12.0,0.0117792,SW1_ON
12.333333333333334,0.0117816,SW1_ON
12.666666666666666,0.011777999999999999,SW1_ON
13.0,0.0117876,SW1_ON
13.333333333333334,0.06912,SW1_ON
13.666666666666666,0.06912,SW1_ON
14.0,0.06912,SW1_ON
14.333333333333334,0.01179,SW1_ON
14.666666666666666,0.011774399999999999,SW1_ON
15.0,0.0117852,UNKNOWN
15.333333333333334,0.06912,UNKNOWN
15.666666666666666,0.06912,UNKNOWN
16.0,0.06912,UNKNOWN
16.333333333333332,0.011951999999999999,UNKNOWN
16.666666666666668,0.011951999999999999,UNKNOWN
17.0,0.011951999999999999,UNKNOWN
17.333333333333332,0.011951999999999999,UNKNOWN
17.666666666666668,0.06912,UNKNOWN
18.0,0.06912,UNKNOWN
18.333333333333332,0.06912,UNKNOWN
18.666666666666668,0.06912,UNKNOWN
19.0,0.011951999999999999,UNKNOWN
19.333333333333332,0.011951999999999999,UNKNOWN
19.666666666666668,0.06912,UNKNOWN
20.0,0.06912,UNKNOWN
20.333333333333332,0.06912,UNKNOWN
20.666666666666668,0.0123852,UNKNOWN
21.0,0.012384,UNKNOWN
21.333333333333332,0.012384,UNKNOWN
21.666666666666668,0.0123852,UNKNOWN
22.0,0.0123852,UNKNOWN
22.333333333333332,0.06912,UNKNOWN
22.666666666666668,0.06912,UNKNOWN
23.0,0.06912,UNKNOWN
23.333333333333332,0.012386399999999999,UNKNOWN
23.666666666666668,0.012384,UNKNOWN
24.0,0.012384,UNKNOWN
24.333333333333332,0.06912,UNKNOWN
24.666666666666668,0.06912,UNKNOWN
25.0,0.06912,UNKNOWN
25.333333333333332,0.013390799999999998,UNKNOWN
25.666666666666668,0.013390799999999998,UNKNOWN
26.0,0.013390799999999998,UNKNOWN
26.333333333333332,0.013390799999999998,UNKNOWN
26.666666666666668,0.06912,UNKNOWN
27.0,0.06912,UNKNOWN
27.333333333333332,0.06912,UNKNOWN
27.666666666666668,0.013390799999999998,UNKNOWN
28.0,0.013390799999999998,UNKNOWN
28.333333333333332,0.013390799999999998,UNKNOWN
28.666666666666668,0.06912,UNKNOWN
29.0,0.06912,UNKNOWN
29.333333333333332,0.06912,UNKNOWN
29.666666666666668,0.013390799999999998,UNKNOWN
30.0,0.013390799999999998,UNKNOWN
30.333333333333332,0.015133199999999998,UNKNOWN
30.666666666666668,0.015127199999999999,UNKNOWN
31.0,0.015125999999999999,UNKNOWN
31.333333333333332,0.06912,UNKNOWN
31.666666666666668,0.06912,UNKNOWN
32.0,0.06912,UNKNOWN
32.333333333333336,0.015127199999999999,UNKNOWN
32.666666666666664,0.015127199999999999,UNKNOWN
33.0,0.015133199999999998,UNKNOWN
33.333333333333336,0.06912,UNKNOWN
33.666666666666664,0.06912,UNKNOWN
34.0,0.06912,UNKNOWN
34.333333333333336,0.015129599999999998,UNKNOWN
34.666666666666664,0.015127199999999999,UNKNOWN
35.0,0.06912,UNKNOWN
35.333333333333336,0.015130799999999998,UNKNOWN
35.666666666666664,0.06912,UNKNOWN
36.0,0.06912,UNKNOWN
36.333333333333336,0.06912,UNKNOWN
36.666666666666664,0.018863999999999995,UNKNOWN
37.0,0.018863999999999995,UNKNOWN
37.333333333333336,0.018863999999999995,UNKNOWN
37.666666666666664,0.06912,UNKNOWN
38.0,0.06912,UNKNOWN
38.333333333333336,0.06912,UNKNOWN
38.666666666666664,0.018863999999999995,UNKNOWN
39.0,0.018863999999999995,UNKNOWN
39.333333333333336,0.018863999999999995,UNKNOWN
39.666666666666664,0.018863999999999995,UNKNOWN
40.0,0.018863999999999995,UNKNOWN
40.333333333333336,0.06912,UNKNOWN
40.666666666666664,0.06912,UNKNOWN
41.0,0.0228972,UNKNOWN
41.333333333333336,0.0228996,UNKNOWN
41.666666666666664,0.022898399999999996,UNKNOWN
42.0,0.06912,UNKNOWN
42.333333333333336,0.06912,UNKNOWN
42.666666666666664,0.06912,UNKNOWN
43.0,0.06912,UNKNOWN
43.333333333333336,0.0228972,UNKNOWN
43.666666666666664,0.0228972,UNKNOWN
44.0,0.06912,UNKNOWN
44.333333333333336,0.0228972,UNKNOWN
44.666666666666664,0.06912,UNKNOWN
45.0,0.06912,UNKNOWN
45.333333333333336,0.06912,UNKNOWN
45.666666666666664,0.0228972,UNKNOWN
46.0,0.023039999999999998,UNKNOWN
46.333333333333336,0.023039999999999998,UNKNOWN
46.666666666666664,0.06912,UNKNOWN
47.0,0.06912,UNKNOWN
47.333333333333336,0.06912,UNKNOWN
47.666666666666664,0.023039999999999998,UNKNOWN
48.0,0.023039999999999998,UNKNOWN
48.333333333333336,0.023039999999999998,UNKNOWN
48.666666666666664,0.06912,UNKNOWN
49.0,0.06912,UNKNOWN
49.333333333333336,0.06912,UNKNOWN
49.666666666666664,0.06912,UNKNOWN
50.0,0.06912,UNKNOWN
50.333333333333336,0.023039999999999998,UNKNOWN
50.666666666666664,1.2e-06,UNKNOWN
51.0,0.06912,UNKNOWN
51.333333333333336,0.06912,UNKNOWN
51.666666666666664,0.06912,UNKNOWN
52.0,1.2e-06,UNKNOWN
52.333333333333336,1.2e-06,UNKNOWN
52.666666666666664,1.2e-06,UNKNOWN
53.0,0.06912,UNKNOWN
53.333333333333336,1.2e-06,UNKNOWN
53.666666666666664,0.06912,UNKNOWN
54.0,0.06912,UNKNOWN
54.333333333333336,0.06912,UNKNOWN
54.666666666666664,1.2e-06,UNKNOWN
55.0,1.2e-06,UNKNOWN
55.333333333333336,1.2e-06,UNKNOWN
55.666666666666664,0.06912,UNKNOWN
56.0,0.06912,UNKNOWN
56.333333333333336,0.06912,UNKNOWN
56.666666666666664,0.011519999999999999,UNKNOWN
57.0,0.0115236,UNKNOWN
57.333333333333336,0.0115236,UNKNOWN
57.666666666666664,0.06912,UNKNOWN
58.0,0.06912,UNKNOWN
58.333333333333336,0.06912,UNKNOWN
58.666666666666664,0.06912,UNKNOWN
59.0,0.011525999999999998,UNKNOWN
59.333333333333336,0.0115236,UNKNOWN
59.666666666666664,0.011522399999999999,UNKNOWN
60.0,0.06912,UNKNOWN
60.333333333333336,0.06912,UNKNOWN
