Frame,Original_Bits,Compressed_Size,Compression_Ratio
0,921600,2,460800.0
1,156010,4798,32.51563151313047
2,156016,4798,32.51688203418091
3,156014,4798,32.51646519383076
4,156013,4798,32.51625677365569
5,156014,4798,32.51646519383076
6,156017,4798,32.51709045435598
7,156010,4798,32.51563151313047
8,921600,2,460800.0
9,921600,2,460800.0
10,921600,2,460800.0
11,921600,2,460800.0
12,921600,2,460800.0
13,921600,2,460800.0
14,156013,4798,32.51625677365569
15,156017,4798,32.51709045435598
16,156011,4798,32.51583993330554
17,156008,4798,32.515214672780324
18,156013,4798,32.51625677365569
19,156012,4798,32.51604835348062
20,156022,4798,32.51813255523135
21,156011,4798,32.51583993330554
22,156016,4798,32.51688203418091
23,921600,2,460800.0
24,156015,4798,32.51667361400584
25,156009,4798,32.515423092955395
26,156023,4798,32.51834097540642
27,156010,4798,32.51563151313047
28,921600,2,460800.0
29,921600,2,460800.0
30,156010,4798,32.51563151313047
31,156010,4798,32.51563151313047
32,156009,4798,32.515423092955395
33,156967,4798,32.71508962067528
34,921600,2,460800.0
35,921600,2,460800.0
36,921600,2,460800.0
37,921600,2,460800.0
38,921600,2,460800.0
39,921600,2,460800.0
40,921600,2,460800.0
41,156973,4798,32.716340141725716
42,156970,4798,32.7157148812005
43,156973,4798,32.716340141725716
44,156970,4798,32.7157148812005
45,156970,4798,32.7157148812005
46,921600,2,460800.0
47,921600,2,460800.0
48,921600,2,460800.0
49,921600,2,460800.0
50,921600,2,460800.0
51,921600,2,460800.0
52,921600,2,460800.0
53,921600,2,460800.0
54,921600,2,460800.0
55,156965,4798,32.71467278032514
56,156970,4798,32.7157148812005
57,156971,4798,32.715923301375575
58,156971,4798,32.715923301375575
59,156968,4798,32.71529804085036
60,156974,4798,32.716548561900794
61,156966,4798,32.71488120050021
62,921600,2,460800.0
63,921600,2,460800.0
64,921600,2,460800.0
65,921600,2,460800.0
66,921600,2,460800.0
67,158402,4798,33.01417257190496
68,158402,4798,33.01417257190496
69,158403,4798,33.014380992080035
70,158405,4798,33.014797832430176
71,158405,4798,33.014797832430176
72,158407,4798,33.015214672780324
73,921600,2,460800.0
74,921600,2,460800.0
75,921600,2,460800.0
76,921600,2,460800.0
77,921600,2,460800.0
78,921600,2,460800.0
79,921600,2,460800.0
80,921600,2,460800.0
81,921600,2,460800.0
82,158402,4798,33.01417257190496
83,158402,4798,33.01417257190496
84,158403,4798,33.014380992080035
85,158401,4798,33.01396415172989
86,158405,4798,33.014797832430176
87,158400,4798,33.01375573155482
88,921600,2,460800.0
89,921600,2,460800.0
90,921600,2,460800.0
91,921600,2,460800.0
92,921600,2,460800.0
93,921600,2,460800.0
94,161290,4798,33.61609003751563
95,161293,4798,33.61671529804085
96,161282,4798,33.61442267611505
97,161304,4798,33.619007919966656
98,161290,4798,33.61609003751563
99,921600,2,460800.0
100,921600,2,460800.0
101,921600,2,460800.0
102,921600,2,460800.0
103,921600,2,460800.0
104,921600,2,460800.0
105,921600,2,460800.0
106,921600,2,460800.0
107,921600,2,460800.0
108,921600,2,460800.0
109,161295,4798,33.617132138391
110,161294,4798,33.61692371821592
111,161301,4798,33.61838265944144
112,161296,4798,33.61734055856607
113,161292,4798,33.616506877865774
114,921600,2,460800.0
115,921600,2,460800.0
116,921600,2,460800.0
117,921600,2,460800.0
118,921600,2,460800.0
119,921600,2,460800.0
120,161292,4798,33.616506877865774
121,161292,4798,33.616506877865774
122,167499,4798,34.91017090454356
123,167500,4798,34.91037932471863
124,167498,4798,34.909962484368485
125,167503,4798,34.91100458524385
126,921600,2,460800.0
127,921600,2,460800.0
128,921600,2,460800.0
129,921600,2,460800.0
130,921600,2,460800.0
131,921600,2,460800.0
132,167503,4798,34.91100458524385
133,167500,4798,34.91037932471863
134,921600,2,460800.0
135,921600,2,460800.0
136,167501,4798,34.910587744893704
137,167500,4798,34.91037932471863
138,167502,4798,34.91079616506878
139,167500,4798,34.91037932471863
140,167502,4798,34.91079616506878
141,921600,2,460800.0
142,921600,2,460800.0
143,921600,2,460800.0
144,921600,2,460800.0
145,921600,2,460800.0
146,921600,2,460800.0
147,921600,2,460800.0
148,167500,4798,34.91037932471863
149,167500,4798,34.91037932471863
150,167504,4798,34.91121300541892
151,167499,4798,34.91017090454356
152,167500,4798,34.91037932471863
153,167499,4798,34.91017090454356
154,921600,2,460800.0
155,921600,2,460800.0
156,921600,2,460800.0
157,921600,2,460800.0
158,921600,2,460800.0
159,921600,2,460800.0
160,179952,4798,37.50562734472697
161,921600,2,460800.0
162,921600,2,460800.0
163,179953,4798,37.505835764902045
164,179952,4798,37.50562734472697
165,179952,4798,37.50562734472697
166,179953,4798,37.505835764902045
167,179953,4798,37.505835764902045
168,921600,2,460800.0
169,921600,2,460800.0
170,921600,2,460800.0
171,921600,2,460800.0
172,921600,2,460800.0
173,921600,2,460800.0
174,179952,4798,37.50562734472697
175,179953,4798,37.505835764902045
176,179952,4798,37.50562734472697
177,179952,4798,37.50562734472697
178,179952,4798,37.50562734472697
179,179952,4798,37.50562734472697
180,179952,4798,37.50562734472697
181,921600,2,460800.0
182,921600,2,460800.0
183,921600,2,460800.0
184,921600,2,460800.0
185,921600,2,460800.0
186,921600,2,460800.0
187,204392,4798,42.599416423509794
188,921600,2,460800.0
189,921600,2,460800.0
190,204393,4798,42.59962484368487
191,204390,4798,42.59899958315965
192,204387,4798,42.598374322634434
193,204387,4798,42.598374322634434
194,204386,4798,42.59816590245936
195,204388,4798,42.598582742809505
196,921600,2,460800.0
197,921600,2,460800.0
198,921600,2,460800.0
199,921600,2,460800.0
200,921600,2,460800.0
201,204388,4798,42.598582742809505
202,204388,4798,42.598582742809505
203,204389,4798,42.598791162984575
204,204390,4798,42.59899958315965
205,204385,4798,42.597957482284286
206,204392,4798,42.599416423509794
207,204390,4798,42.59899958315965
208,921600,2,460800.0
209,921600,2,460800.0
210,921600,2,460800.0
211,921600,2,460800.0
212,921600,2,460800.0
213,204390,4798,42.59899958315965
214,204393,4798,42.59962484368487
215,253240,4798,52.78032513547311
216,253239,4798,52.78011671529804
217,253240,4798,52.78032513547311
218,253240,4798,52.78032513547311
219,253240,4798,52.78032513547311
220,253240,4798,52.78032513547311
221,253241,4798,52.780533555648184
222,921600,2,460800.0
223,921600,2,460800.0
224,921600,2,460800.0
225,921600,2,460800.0
226,921600,2,460800.0
227,921600,2,460800.0
228,253240,4798,52.78032513547311
229,253240,4798,52.78032513547311
230,253240,4798,52.78032513547311
231,253240,4798,52.78032513547311
232,253240,4798,52.78032513547311
233,253240,4798,52.78032513547311
234,921600,2,460800.0
235,921600,2,460800.0
236,921600,2,460800.0
237,921600,2,460800.0
238,921600,2,460800.0
239,921600,2,460800.0
240,253240,4798,52.78032513547311
241,253240,4798,52.78032513547311
242,253240,4798,52.78032513547311
243,253240,4798,52.78032513547311
244,253240,4798,52.78032513547311
245,308327,4798,64.26156731971655
246,308328,4798,64.26177573989162
247,308328,4798,64.26177573989162
248,308327,4798,64.26156731971655
249,921600,2,460800.0
250,921600,2,460800.0
251,921600,2,460800.0
252,921600,2,460800.0
253,921600,2,460800.0
254,921600,2,460800.0
255,308326,4798,64.26135889954148
256,308328,4798,64.26177573989162
257,308327,4798,64.26156731971655
258,308328,4798,64.26177573989162
259,308325,4798,64.2611504793664
260,308325,4798,64.2611504793664
261,921600,2,460800.0
262,921600,2,460800.0
263,921600,2,460800.0
264,921600,2,460800.0
265,921600,2,460800.0
266,921600,2,460800.0
267,921600,2,460800.0
268,308327,4798,64.26156731971655
269,308325,4798,64.2611504793664
270,921600,2,460800.0
271,308330,4798,64.26219258024177
272,308328,4798,64.26177573989162
273,308326,4798,64.26135889954148
274,308802,4798,64.3605669028762
275,308802,4798,64.3605669028762
276,921600,2,460800.0
277,921600,2,460800.0
278,921600,2,460800.0
279,921600,2,460800.0
280,921600,2,460800.0
281,921600,2,460800.0
282,308801,4798,64.36035848270113
283,308803,4798,64.36077532305127
284,308802,4798,64.3605669028762
285,308802,4798,64.3605669028762
286,308802,4798,64.3605669028762
287,308804,4798,64.36098374322634
288,921600,2,460800.0
289,921600,2,460800.0
290,921600,2,460800.0
291,921600,2,460800.0
292,921600,2,460800.0
293,921600,2,460800.0
294,308802,4798,64.3605669028762
295,308804,4798,64.36098374322634
296,308804,4798,64.36098374322634
297,308803,4798,64.36077532305127
298,308802,4798,64.3605669028762
299,308803,4798,64.36077532305127
300,308801,4798,64.36035848270113
301,308802,4798,64.3605669028762
302,308803,4798,64.36077532305127
303,921600,2,460800.0
304,921600,2,460800.0
305,921600,2,460800.0
306,921600,2,460800.0
307,921600,2,460800.0
308,921600,2,460800.0
309,2723,2882,0.9448299791811242
310,2723,2882,0.9448299791811242
311,2723,2882,0.9448299791811242
312,2723,2882,0.9448299791811242
313,2723,2882,0.9448299791811242
314,2723,2882,0.9448299791811242
315,921600,2,460800.0
316,921600,2,460800.0
317,921600,2,460800.0
318,921600,2,460800.0
319,921600,2,460800.0
320,921600,2,460800.0
321,2723,2882,0.9448299791811242
322,2723,2882,0.9448299791811242
323,2723,2882,0.9448299791811242
324,2723,2882,0.9448299791811242
325,2723,2882,0.9448299791811242
326,2723,2882,0.9448299791811242
327,2723,2882,0.9448299791811242
328,2723,2882,0.9448299791811242
329,921600,2,460800.0
330,921600,2,460800.0
331,921600,2,460800.0
332,921600,2,460800.0
333,921600,2,460800.0
334,921600,2,460800.0
335,921600,2,460800.0
336,156011,4798,32.51583993330554
337,168458,4798,35.11004585243852
338,156012,4798,32.51604835348062
339,168458,4798,35.11004585243852
340,168457,4798,35.10983743226344
341,168459,4798,35.11025427261359
342,921600,2,460800.0
343,921600,2,460800.0
344,921600,2,460800.0
345,921600,2,460800.0
346,921600,2,460800.0
347,921600,2,460800.0
348,168458,4798,35.11004585243852
349,168455,4798,35.1094205919133
350,168460,4798,35.11046269278866
351,168456,4798,35.10962901208837
352,168462,4798,35.11087953313881
353,168457,4798,35.10983743226344
354,156022,4798,32.51813255523135
355,156010,4798,32.51563151313047
356,157785,4838,32.61368334022323
357,921600,2,460800.0
358,921600,2,460800.0
359,921600,2,460800.0
360,921600,2,460800.0
361,921600,2,460800.0
362,921600,2,460800.0
363,168458,4798,35.11004585243852
